date,GPP,SW_IN_F,PPFD_IN_F_MDS,PPFD_IN_F_MDS_QC,PAR_BK,PAR,JAXAPAR,window_start,window_end,NIRV,window_id,match_count,NIRvP_PAR,NIRvP_JAXAPAR
2001-02-02,0.3537371161228108,116.12350683907655,238.996838694438,0.0,238.996838694438,52.25557807758445,,,,,,0,,
2001-02-03,0.3892661354130206,183.2842193146545,373.53963186529694,0.0,373.53963186529694,82.47789869159453,,,,,,0,,
2001-02-04,0.3778534491732153,125.25048970182722,261.8458427755776,0.0,261.8458427755776,56.36272036582225,,,,,,0,,
2001-02-05,0.4085145730299468,172.39285135269145,356.5230753918483,0.0,356.5230753918483,77.57678310871115,,,,,,0,,
2001-02-06,0.3744672381329229,119.68005602558442,257.47893214349887,0.0,257.47893214349887,53.85602521151299,,,,,,0,,
2001-02-07,0.3009054404000124,29.79464198028043,43.72635653987521,0.0,43.72635653987521,13.407588891126194,,,,,,0,,
2001-02-08,0.4281995225319706,185.3953298727669,375.4184318619463,0.0,375.4184318619463,83.4278984427451,,,,,,0,,
2001-02-09,0.4424015062494103,182.58134253819767,371.2302524161829,0.0,371.2302524161829,82.16160414218895,,,,,,0,,
2001-02-10,0.4259685230628857,159.9955312410989,328.7023143743468,0.0,328.7023143743468,71.9979890584945,,,,,,0,,
2001-02-11,0.4438642263614905,186.915665117558,382.7034793769312,0.0,382.7034793769312,84.1120493029011,,,,,,0,,
2001-02-12,0.4137374973436283,126.62202064196246,267.4112013131376,0.0,267.4112013131376,56.97990928888311,,,,,,0,,
2001-02-13,0.3877237533983362,113.64632584825922,239.27643026659845,0.0,239.27643026659845,51.14084663171665,,,,,,0,,
2001-02-14,0.3240636785420669,70.9811504986136,142.48171621809374,0.0,142.48171621809374,31.941517724376123,,,,,,0,,
2001-02-15,0.4412145710306948,159.67310920574994,323.5442883620651,0.0,323.5442883620651,71.85289914258748,,,,,,0,,
2001-02-16,0.4615233029922221,178.4677534550426,364.6313192396476,0.0,364.6313192396476,80.31048905476918,,,,,,0,,
2001-02-17,0.4984397812506815,210.84424032674465,428.8837332228805,0.0,428.8837332228805,94.8799081470351,,,,,,0,,
2001-02-18,0.4825295359255095,192.2569339269149,380.44086365898346,0.0,380.44086365898346,86.51562026711171,,,,,,0,,
2001-02-19,0.5091506951998666,212.25000216190995,407.33043882685325,0.0,407.33043882685325,95.51250097285948,,,,,,0,,
